tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
articolo in rivista;Aulizio, Francesco;;Ricordo del prof. Vincenzo Busacchi nel decennale della scomparsa (1907-1991);;;;;;2004;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;35;1-2;71-84
articolo in rivista;Azzaro, Bartolomeo;;La Sapientia dello studium urbis di Roma;;;;;;2005;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;53;3-4;482-497
articolo in volume miscellaneo;Baccetti, Baccio;;Macchiati, Luigi;;;Dizionario biografico degli italiani, 67;Roma;Istituto della Enciclopedia Italiana;2006;;;;;20-22
articolo in rivista;Bacchelli, Franco;;Medicina, morale e religione: il caso di Antonio Musa Brasavola;;;;;;2004;;«Annali di storia delle università italiane»;8;;93-101
articolo in volume miscellaneo;Bagliani, Carlo;;La scuola di farmacia nell'ateneo pavese e alcuni illustri cattedratici;;;Elementi di storia e deontologia farmaceutica. Nel ricordo di Cristoforo Masino (1907-1988);Torino;Accademia italiana di storia della farmacia;2007;;;;;43-50
articolo in rivista;Balandi, Gian Guido - Maggi, Andrea;;L'Università di Ferrara nel secondo Convegno di studi sindacali e corporativi di Ferrara del 1932;;;;;;2004;;«Annali di storia delle università italiane»;8;;239-265
articolo in rivista;Balbo, Andrea;;La storia di un 'cocchio rovesciato e spezzato'. Francesco Lanteri, professore di Eloquenza latina;;;;;;2005;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;10;8;3-25
articolo in rivista;Baldanza, Giuseppe;;La Facoltà Teologica di fronte ad alcuni compiti per i nostri tempi;;;;;;2003;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;21;1;101-114
articolo in volume miscellaneo;Baldini, Ugo;;Magini, Giovanni Antonio;;;Dizionario biografico degli italiani, 67;Roma;Istituto della Enciclopedia Italiana;2006;;;;;412-418
articolo in volume miscellaneo;Baldini, Ugo;;Manfredi, Eustachio;;;Dizionario biografico degli italiani, 68;Roma;Istituto della Enciclopedia Italiana;2007;;;;;668-676
articolo in volume miscellaneo;Baldini, Ugo;;Maraldi, Giovanni Domenico;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;395-398
articolo in rivista;Baldini, Ugo;;L'insegnamento fisico-matematico nella scuola di S. Rocco, 1600-1768: verso una ricognizione dei materiali didattici;;;;;;2005;;«Annali di storia delle università italiane»;9;;65-90
articolo in rivista;Baldo Ceolin, Milla;;Bruno Rossi. Momenti della vita di uno scienziato;;;;;;2004-2005;;«Atti e Memorie dell'Accademia Patavina di scienze, lettere ed arti già Accademia dei Ricovrati. Parte 2. Memorie della classe di scienze matematiche e naturali»;117;;83-91
articolo in rivista;Baracca, Claudio - De Martini, Gigliola;;Civitas studiorum'? Pavia e la sua Università;;;;;;2003;;«Annali di storia delle università italiane»;7;;249-283
articolo in rivista;Baracchi, Orianna;;Istruzione e arte in periodo napoleonico;;;;;;2005;;«Atti e memorie. Deputazione di storia patria per le antiche province modenesi»;s. 11, 27;;191-218
articolo in rivista;Barausse, Alberto;;La Scuola pedagogica di Roma;;;;;;2003;;«Annali di storia dell'educazione e delle istituzioni scolastiche»;10;;57-116
articolo in volume miscellaneo;Barbagli, Fausto;;Mangili, Giuseppe;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;15-17
articolo in rivista;Barillà, Maria;;Guido Pallotta, un mistico dell'azione;;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;10;8;121-201
articolo in rivista;Barnabè, Federico - Riccaboni, Angelo;;La misurazione delle performance di Ateneo. L'esperienza dell'Università degli Studi di Siena;;;;;;2006;;«Annali di storia delle università italiane»;10;;267-276
articolo in volume miscellaneo;Barreca, Luca;;Marangoni, Matteo;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;426-429
articolo in rivista;Barrientos Grandón, Javier;;Melchor Bravo de Sarabia (1512-1577), primer miembro del Colegio de San Clemente de Bolonia en la judicatura indiana, y su familia de togados;;;;;;2007;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;29;;423-436
articolo in rivista;Barsanti, Danilo;;Giacomo Sacchetti lettore di Filosofia e rettore del Collegio Ferdinando all'Università di Pisa;;;;;;2005;;«Bollettino storico pisano»;"74 (numero monografico ""In memoria di Marco Tangheroni"")";;95-106
articolo in rivista;Bartola, Alberto;;Alle origini del museo del Collegio Romano. Documenti e testimonianze;;;;;;2004;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;19;1;297-356
articolo in rivista;Bartolini, Donatella;;Studenti di medicina nei collegi 'Santa Caterina' e 'Castaldi' nel Cinquecento;;;;;;2005;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;38;;197-216
articolo in rivista;Bartolini, Donatella;;Diplomi di laurea degli Amalteo nella Biblioteca Nazionale Marciana di Venezia (1533-1569);;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;39;;221-230
articolo in rivista;Becchio, Giandomenica;;Renzo Fubini, da allievo del Laboratorio a professore di economia e finanza: una ricostruzione attraverso il carteggio con Luigi Einaudi (1928-1943);;;;;;2004;;«Annali della Fondazione Luigi Einaudi»;38;;13-58
articolo in rivista;Becchio, Giandomenica - Marchionatti, Roberto;;Renzo Fubini (1904-1944);;;;;;2004;;«Annali della Fondazione Luigi Einaudi»;38;;3-12
articolo in volume miscellaneo;Bellomo, Manlio;;Considerazioni sulla pervasività della religione nella società e negli ambienti di studio universitari in età tardo-medievale;;;Politica e Studium: nuove prospettive e ricerche. Atti del Convegno (Bologna, 18 ottobre 2003);Bologna;Istituto per la storia dell'Università;2005;;;;;7-18
articolo in rivista;Bellomo, Manlio;;A un passo dalle voci, dai silenzi e dagli autografi di antichi giuristi (secoli XIII-XIV);;;;;;2004;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;15;;23-32
articolo in rivista;Bellomo, Manlio;;Giuristi ad Arezzo nella prima metà del secolo XIII;;;;;;2005;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;16;;27-51
articolo in volume miscellaneo;Benavent, Júlia;;Relaciones universitarias en Europa y poder político en los siglos XV y XVI;Universitat de Valencia y Johannes Gutenberg - Universitat Mainz;;Viajar para saber. Movilidad y comunicación en las universidades europeas;València;Universitat de València;2004;;;;;159-170
articolo in rivista;Benedetto, Giovanni;;L'antichistica. Filologia classica e storia antica: premesse e sviluppi (1914-1964);;;;;;2007;;«Annali di storia delle università italiane»;11 ;;179-201
articolo in rivista;Benucci, Franco;;Il Collegium Tonacium e il suo fondatore Antonio Francesco Tonazzi da Thiene (1606?-1669);;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;39;;3-59
articolo in volume miscellaneo;Berardi, Alberto;;Manzini Vincenzo;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;290-292
articolo in volume miscellaneo;Beretta, Francesco;;Maculani, Gaspare, detto il Firenzuola;;;Dizionario biografico degli italiani, 67;Roma;Istituto della Enciclopedia Italiana;2006;;;;;132-134
articolo in rivista;Bernardinello, Federico;;Un'inchiesta sessuale fra gli studenti dell'Università di Padova negli anni Trenta: il caso Pellegrini-Burin;;;;;;2007;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;40;;111-150
articolo in volume miscellaneo;Bersani, Carlo;;Macrì, Giacomo;;;Dizionario biografico degli italiani, 67;Roma;Istituto della Enciclopedia Italiana;2006;;;;;124-126
articolo in rivista;Berti Arnoaldi, Ugo - Carletti, Giovanni - Carloni, Cecilia - Cataluccio, Francesco M. - Fiorani, Flavio;;Editoria storica ed Università. Interventi a cura di Simone Neri Serneri;;;;;;2004;;«Contemporanea. Rivista di storia dell'800 e del '900»;7;3;443-460
articolo in rivista;Berti, Enrico;;Emilio Bodrero storico della filosofia antica;;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;39;;135-141
articolo in rivista;Berti, Giampietro;;L'Università di Padova dal 1797 al 1866;;;;;;2005;;«Archivio Veneto. Deputazione di Storia Patria per le Venezie»;s. 5, 136, 165;200;231-248
articolo in rivista;Bertilotti, Teresa;;La formazione degli insegnanti e la riforma delle scuole normali;;;;;;2003;;«Annali di storia dell'educazione e delle istituzioni scolastiche»;10;;37-56
articolo in rivista;Bertilotti, Teresa;;La Scuola pedagogica di Firenze;;;;;;2003;;«Annali di storia dell'educazione e delle istituzioni scolastiche»;10;;263-288
articolo in rivista;Bertucci, Paola;;Public Utility and Spectacular Display: The Physics Cabinet of the Royal Museum in Florence (1775);;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;24;2;323-336
articolo in rivista;Bettini Prosperi, Margherita - Lisi, Costanza;;L'archivio di Adriano Buzzati Traverso;;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;18;1;173-178
articolo in rivista;Bettini, Maurizio;;L'università prima dell'università. L'antichità classica era già moderna?;;;;;;2004;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;53, 416;6;1123-1132
articolo in rivista;Bianchi, Ilaria;;Le cere anatomiche di Anna Morandi Manzolini tra Bologna e l'Europa;;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;32;;129-146
articolo in rivista;Bianchi, Paola;;In cerca del moderno. Studenti e viaggiatori inglesi a Torino nel Settecento;;;;;;2003;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;115;3;1021-1051
articolo in volume miscellaneo;Bianco, Gerardo;;Mabellini, Giovanni Battista;;;Dizionario biografico degli italiani, 66;Roma;Istituto della Enciclopedia Italiana;2006;;;;;561-562
articolo in volume miscellaneo;Bianco, Gerardo;;Mabil (Mabille), Pier Luigi;;;Dizionario biografico degli italiani, 66;Roma;Istituto della Enciclopedia Italiana;2006;;;;;765-768
articolo in rivista;Bianco, Maria Luisa;;Donne all'Università. Studentesse e docenti nell'accademia italiana contemporanea;;;;;;2004;;«Annali di storia delle università italiane»;8;;9-34
articolo in rivista;Biavati, Rossella;;Libri rari di matematica: la collezione Bortolotti del Dipartimento di Matematica dell'Università di Bologna;;;;;;2003;;«Annali di storia delle università italiane»;7;;327-331
articolo in rivista;Bigatti, Giorgio - Canella, Maria;;Premessa;;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;26;"1 (numero monografico ""Le carte del Venerando Collegio degli ingegneri e architetti di Milano, 1563-1797. Inventari e ricognizioni d'archivio"")";5-6
articolo in rivista;Bima, Alessandro;;Le letture di un professionista di provincia a fine Settecento: il medico Giuseppe Brignone di Bricherasio;;;;;;2006;;«Bollettino della Società di studi valdesi»;123;"198 (numero monografico ""Libri, biblioteche e cultura nelle Valli valdesi in età moderna. Atti del 44. Convegno di studi sulla Riforma e sui movimenti religiosi in Italia (Torre Pellice, 28-29 agosto 2004)"" a cura di Marco Fratini)";159-166
articolo in rivista;Binetti, Paola - Bosoni, Daniele;;Camillo Golgi (1844-1926): profilo di un nobel politicamente impegnato;;;;;;2007;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;19;1;55-80
articolo in rivista;Bingen, Nicole;;Studenti francofoni nelle università italiane del Rinascimento: censimento e analisi dei dati;;;;;;2004;;«Annali di storia delle università italiane»;8;;283-298
articolo in rivista;Bingen, Nicole;;Claude-Enoch Virey à l'Université de Sienne (1593);;;;;;2007;;«Bibliothèque d'Humanisme et Renaissance»;69;1;147-156
articolo in volume miscellaneo;Bizzarini, Marco;;Marcello, Alessandro Ignazio;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;510-512
articolo in rivista;Blasotta, Daniele - Ferrario, Omar;;Le critiche di Arrigo Tamassia alle conclusioni peritali del processo Guiteau (1882-1883);;;;;;2007;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;19;2;503-512
articolo in volume miscellaneo;Bocci, Maria;;L'Università cattolica di Milano: il progetto di Padre Gemelli;;;Les universitès catholiques dans le monde (1815-1962). Université, eglise, culture. Actes du second symposium, Institut Catholique de Paris, 23-25 avril 2001 ;Parigi;Fiuc;2003;;;;;57-86
articolo in rivista;Bocci, Maria;;Il beato cardinale Schuster e l'Università Cattolica del Sacro Cuore;;;;;;2006;;«Benedictina»;53;"1 (numero monografico ""I Beati Placido Riccardi e Ildefonso Schuster nel cinquantenario della beatificazione e della morte, 1954-2004. Atti del Convegno di Farfa, 6 novembre 2004"")";127-161
articolo in rivista;Bocci, Maria;;Alle origini della sede di Brescia dell'Università cattolica del Sacro Cuore. Dalle carte dell'Archivio storico dell'Ateneo;;;;;;2006;;«Bollettino dell'Archivio per la storia del movimento sociale cattolico in Italia»;41;2;246-299
articolo in volume miscellaneo;Bock Berti, Giuseppina;;Lorenzini, Giovanni;;;Dizionario biografico degli italiani, 66;Roma;Istituto della Enciclopedia Italiana;2006;;;;;42-43
articolo in volume miscellaneo;Bock Berti, Giuseppina;;Luciani, Luigi;;;Dizionario biografico degli italiani, 66;Roma;Istituto della Enciclopedia Italiana;2006;;;;;321-324
articolo in volume miscellaneo;Bock Berti, Giuseppina;;Lussana, Filippo;;;Dizionario biografico degli italiani, 66;Roma;Istituto della Enciclopedia Italiana;2006;;;;;669-672
articolo in volume miscellaneo;Bock Berti, Giuseppina;;Maggiora Vergano, Arnaldo;;;Dizionario biografico degli italiani, 67;Roma;Istituto della Enciclopedia Italiana;2006;;;;;388-390
articolo in volume miscellaneo;Bock Berti, Giuseppina;;Maggiore, Luigi;;;Dizionario biografico degli italiani, 67;Roma;Istituto della Enciclopedia Italiana;2006;;;;;394-396
articolo in rivista;Bolech Cecchi, Donatella;;La Facoltà di scienze politiche dalla costituzione alla riforma (1926-1968);;;;;;2003;;«Annali di storia delle università italiane»;7;;227-248
articolo in rivista;Bombi, Francesco - Ongaro, Giuseppe;;Un progetto espositivo per il nuovo Museo di storia della medicina e della salute;;;;;;2003-2004;;«Atti e Memorie dell'Accademia Patavina di scienze, lettere ed arti già Accademia dei Ricovrati. Parte 2. Memorie della classe di scienze matematiche e naturali»;116;;95-106
articolo in volume miscellaneo;Bona, Ferdinando;;La Facoltà di Giurisprudenza e le professioni connesse;Bona, Ferdinando;;Lectio sua. Studi editi e inediti di diritto romano;Padova;Cedam;2003;2;;;;1191-1204
articolo in rivista;Bonini, Ilaria;;L'Herbarium Universitatis Senensis: storia, personaggi, erbari;;;;;;2006;;«Annali di storia delle università italiane»;10;;381-394
articolo in volume miscellaneo;Bonuzzi, Luciano;;Mandruzzato, Salvatore;;;Dizionario biografico degli italiani, 68;Roma;Istituto della Enciclopedia Italiana;2007;;;;;589-590
articolo in volume miscellaneo;Bonuzzi, Luciano;;Manganotti, Gilberto;;;Dizionario biografico degli italiani, 68;Roma;Istituto della Enciclopedia Italiana;2007;;;;;788-790
articolo in rivista;Bonvini, Riccardo;;L'Ateneo di Parma dopo l'Unità. Un caso di università periferica nell'Italia liberale (1860-1890);;;;;;2005;;«Annali di storia delle università italiane»;9;;121-141
articolo in rivista;Bonvini, Riccardo;;Sovversivi con giudizio. La contestazione studentesca del 1885 a Parma;;;;;;2005;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;92;1;26-41
articolo in rivista;Bordini, Simone;;Lo 'Studium' di Arezzo;;;;;;2005;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;;60;179-186
articolo in rivista;Bottaro, Francesco;;Un figlio d’arte e una cattedra d’arti: due documenti per Girolamo Polcastro (1470-1477) ;;;;;;2003;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;36;;179-190
articolo in rivista;Braccia, Roberta;;Cultura giuridica e cultura della legge in Liguria tra medioevo ed età moderna: la legislazione statutaria;;;;;;2004;;«Atti della Società ligure di storia patria»;n.s., 44 (118);"1 (numero monografico ""Storia della cultura ligure"" a cura Dino Puncuh) ";19-36
articolo in rivista;Brambilla, Alberto;;Docenti e didattica nell'Università di Padova a fine Ottocento. Dalle note di due veronesi (Gioachino Brognoligo e Giuseppe Biadego);;;;;;2003;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;36;;135-151
articolo in rivista;Brambilla, Elena;;Le scuole universitarie a Milano tra fine Settecento e primo Ottocento;;;;;;2007;;«Annali di storia delle università italiane»;11 ;;35-44
articolo in rivista;Brambilla, Elena - di Renzo Villata, Maria Gigliola;;L'Università degli studi di Milano. Presentazione;;;;;;2007;;«Annali di storia delle università italiane»;11 ;;33-34
articolo in volume miscellaneo;Brancaleoni, Francesca;;Mangini, Antonio;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;17-18
articolo in rivista;Brenzoni, Caterina Gemma;;Il ritratto marmoreo del medico veronese Giovanni Arcolano (1494 c.);;;;;;2007;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;40;;153-161
articolo in rivista;Bresadola, Marco;;La riforma della medicina nella Ferrara di fine Settecento;;;;;;2004;;«Annali di storia delle università italiane»;8;;125-150
articolo in rivista;Bresso, Paoloa;;Le donne nell'Università di Torino. Studentesse, docenti, personale tecnico amministrativo (1876-1940);;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;10;8;27-80
articolo in volume miscellaneo;Brizzi, Gian Paolo;;Ad apicem doctoratus ascendit'. L'esame e il dottorato: una storia lunga nove secoli;Università degli studi di Urbino Carlo Bo;;Honor & Meritus. Diplomi di laurea dal XV al XX secolo. Mostra documentaria realizzata in occasione del 500° anniversario della fondazione dell’Università degli Studi di Urbino;Rimini;Panozzo;2005;;;;;13-33
articolo in volume miscellaneo;Brizzi, Gian Paolo;;Ungheresi nell'Alma Mater: un rapporto lungo otto secoli;;;Tra magiaristica e italianistica: cultura e istituzioni ;Roma - Szeged;Accademia d'Ungheria;2005;;;;;151-171
articolo in rivista;Brizzi, Gian Paolo;;Università e memoria. In margine all'intervento di Antonio Viñao;;;;;;2005;;«Annali di storia dell'educazione e delle istituzioni scolastiche»;12;;35-40
articolo in rivista;Brizzi, Gian Paolo;;Ungheresi nell'Alma Mater: un rapporto lungo otto secoli;;;;;;2005;;«Annuario dell'Accademia d'Ungheria»;3;;151-171
articolo in rivista;Brizzi, Gian Paolo;;Goffredo Coppola e l'Università di Bologna: uno scomodo caso di continuità istituzionale;;;;;;2004;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;30, 60;2;141-183
articolo in rivista;Broggio, Paolo;;Ordini religiose tra cattedra e dispute teologiche: note per una lettura socio-politica della controversia De Auxiliis (1582-1614);;;;;;2005;;«Cheiron. Materiali strumenti di aggiornamento storiografico»;22;"43-44 (numero monografico ""Religione, conflittualità e cultura. Il clero regolare nell'Europa d'antico regime"" a cura di Massimo Carlo Giannini)";53-86
articolo in volume miscellaneo;Brunazzi Menoni, Luisella;;Maestri, Ferdinando;;;Dizionario biografico degli italiani, 67;Roma;Istituto della Enciclopedia Italiana;2006;;;;;189-193
articolo in rivista;Bruzzone, Gian Luigi;;Filippo Bettini (1803-1869), giurista e patriota;;;;;;2004;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;56;1;127-152
articolo in rivista;Bruzzone, Gian Luigi;;Tre lettere di Giovanni Giolitti a Stanislao Cannizzaro;;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;11;2;29-34
articolo in rivista;Buccini, Stefania;;Francesco Pona: due inediti;;;;;;2003;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;44;;265-279
articolo in volume miscellaneo;Bufacchi, Emanuela;;Maggi, Carlo Maria;;;Dizionario biografico degli italiani, 67;Roma;Istituto della Enciclopedia Italiana;2006;;;;;328-332
articolo in volume miscellaneo;Buffoni, Franca;;Gli studi di Farmacia a Firenze;;;L'Università degli Studi di Firenze, 1924-2004;Firenze;Olschki;2004;2;;;;421-492
articolo in rivista;Bulla Borga, Maria Grazia;;Diplomi di laurea padovani del Cinquecento nella Biblioteca Bertoliana di Vicenza (2 tavv.);;;;;;2005;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;38;;233-242
articolo in rivista;Cabassi, Enrico;;Note storiche sull'insegnamento della Medicina veterinaria a Parma;;;;;;2005;;«Annali di storia delle università italiane»;9;;143-165
articolo in volume miscellaneo;Calabrese, Maria Concetta;;Da casa magnatizia a Facoltà di Scienze Politiche;Calabrese, Maria Concetta - Pagnano, Giuseppe - Paladino, Luisa;;Palazzo Pedagaggi. Da casa magnatizia a Facoltà di Scienze politiche. Un edificio nella civita di Catania;Catania;Maimone;2005;;;;;81-111
articolo in volume miscellaneo;Calapà, Nicoletta;;Luserna Bigliore, Giovanni Battista;;;Dizionario biografico degli italiani, 66;Roma;Istituto della Enciclopedia Italiana;2006;;;;;652-655
articolo in volume miscellaneo;Caliò, Tommaso;;Ludovico da Pirano;;;Dizionario biografico degli italiani, 66;Roma;Istituto della Enciclopedia Italiana;2006;;;;;427-430
articolo in rivista;Calligaro, Alberto - Mazzarello, Paolo - Vannini, Vanio;;L'ematologo Adolfo Ferrata: un profilo;;;;;;2005;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;17;3;747-768
articolo in volume miscellaneo;Calzolari, Ettore;;Madruzza, Giuseppe;;;Dizionario biografico degli italiani, 67;Roma;Istituto della Enciclopedia Italiana;2006;;;;;169-170
articolo in volume miscellaneo;Calzolari, Ettore;;Manzoni, Antonio;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;324-325
articolo in rivista;Camodeca, Alessandra;;L'Università di Moliterno in età moderna: amministrazione e ceti dirigenti;;;;;;2004;;«Bollettino storico della Basilicata»;20;;125-147
articolo in volume miscellaneo;Canfora, Luciano;;Marchese Salvatore;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;587-591
articolo in volume miscellaneo;Capanna, Alessandra;;Mantero, Giovanni;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;200-202
articolo in volume miscellaneo;Capanna, Alessandra;;Marangoni, Luigi;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;424-426
articolo in volume miscellaneo;Capanna, Alessandra;;Marconi, Plinio;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;802-804
articolo in rivista;Capitani, Ovidio;;Nota in margine ai primordi dello Studio domenicano di Bologna;;;;;;2003;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;s.3, 44;3;1191-1200
articolo in rivista;Capocci, Mauro;;Tra biologia e utopia. Adriano Buzzati Traverso nella scienza italiana;;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;18;1;179-192
articolo in rivista;Cappelletti, Elsa M.;;L'Orto Botanico di Padova e l'introduzione di piante esotiche: 'Rheum rhaponticum' e 'Oenothera biennis';;;;;;2006-2007;;«Atti e Memorie dell'Accademia Patavina di scienze, lettere ed arti già Accademia dei Ricovrati. Parte 2. Memorie della classe di scienze matematiche e naturali»;119;;115-125
articolo in rivista;Cappelletti, Leonardo;;Eternalismo' e 'creazionismo' in un maestro bolognese del XIV secolo: Anselmo da Como;;;;;;2005;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;19;1;5-24
articolo in rivista;Caravale, Mario;;Per la storia dell'Università di Roma: la Sapienza;;;;;;2003;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;9;2;7-16
articolo in rivista;Carella, Candida;;I lettori di 'filosofia naturale' della Sapienza di Roma: I. Francesco Nazari;;;;;;2003;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;;1-2;7-35
articolo in volume miscellaneo;Carli, Alberto;;Marchi, Ezio;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;671-672
articolo in volume miscellaneo;Carli, Alberto;;Marcone, Giuseppe;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;785-787
articolo in volume miscellaneo;Carli, Maddalena;;Manzini, Raimondo;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;287-290
articolo in rivista;Carnevali, Antonio;;La Collezione anatomica della Facoltà di Medicina Veterinaria dell'Università degli Studi di Milano;;;;;;2007;;«Annali di storia delle università italiane»;11 ;;377-380
articolo in volume miscellaneo;Carpané, Lorenzo;;Magnanini, Ottavio;;;Dizionario biografico degli italiani, 67;Roma;Istituto della Enciclopedia Italiana;2006;;;;;460-462
articolo in rivista;Carpanetto, Dino;;Studi di fisica e riforma della medicina in Francesco Giuseppe Gardini (1740-1816);;;;;;2007;;«Bollettino storico-bibliografico subalpino»;105;1;49-95
articolo in volume miscellaneo;Carracciolo Aricò, Angela Maria;;Maio, Giuniano;;;Dizionario biografico degli italiani, 67;Roma;Istituto della Enciclopedia Italiana;2006;;;;;618-621
articolo in volume miscellaneo;Carrannante, Antonio;;Mai, Angelo;;;Dizionario biografico degli italiani, 67;Roma;Istituto della Enciclopedia Italiana;2006;;;;;517-520
articolo in volume miscellaneo;Carrannante, Antonio;;Mantica, Giuseppe;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;208-210
articolo in volume miscellaneo;Carrannante, Antonio;;Mantovani, Dino;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;226-227
articolo in volume miscellaneo;Carta, Luciano;;Mannu, Francesco Ignazio;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;131-132
articolo in rivista;Casa, Federico;;Il ruolo di Enrico Opocher nel dibattito italiano sulla natura della giurisprudenza a mezzo del XX secolo;;;;;;2003-2004;;«Atti dell'Istituto veneto di Scienze, Lettere ed Arti. Classe di Classe di scienze morali, lettere ed arti»;162;2-3-4;491-546
articolo in rivista;Casalena, Maria Pia;;Una scienza utile e patriottica. I congressi risorgimentali degli scienziati (1839-1847);;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;24;68;35-60
articolo in volume miscellaneo;Casella, Mario;;Mannironi, Salvatore;;;Dizionario biografico degli italiani, 69;Roma;Istituto della Enciclopedia Italiana;2007;;;;;106-109
articolo in rivista;Casiraghi, Giampietro;;La 'Carta Studii' di Vercelli: 4 aprile 1228. Note di paleografia e diplomatica;;;;;;2006;;«Bollettino storico-bibliografico subalpino»;104;2;579-597
articolo in rivista;Cassella, Maria;;Un fondo antico in una biblioteca di università. Un'integrazione possibile?;;;;;;2003;;«Annali di storia delle università italiane»;7;;333-337
articolo in rivista;Cassini, Anna;;Cassini scienziato, non solo astronomo;;;;;;2006;;«Giornale di astronomia. Rivista di informazione cultura e didattica della Società astronomica italiana»;32;"1 (numero monografico ""Il sole nella chiesa : Cassini e le grandi meridiane come strumenti di indagine scientifica. Atti del convegno, Bologna, Archiginnasio, 22-23 settembre 2005"" a cura di Fabrizio Bonoli, Gianluigi Parmeggiani e Francesco Poppi)";20-26
